Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type,Claim_ID
16,16,10000,2025-08-28 23:48:32,1,1
22,22,10000,2025-12-21 03:36:16,1,2
23,23,10000,2025-01-27 21:44:05,1,3
49,49,10000,2025-03-21 12:13:25,1,4
60,60,10000,2025-03-21 23:43:25,1,5
90,90,10000,2025-01-27 14:28:24,1,6
105,105,10000,2025-11-21 04:00:45,1,7
133,133,10000,2025-08-21 14:38:27,1,8
147,147,10000,2025-07-21 10:44:03,1,9
197,197,10000,2025-10-14 18:13:06,1,10
279,279,10000,2025-03-21 10:34:57,1,11
307,307,10000,2025-03-07 23:09:40,1,12
372,372,10000,2025-06-07 09:43:06,1,13
385,385,10000,2025-01-27 11:38:56,1,14
413,413,10000,2025-10-28 19:46:53,1,15
438,438,10000,2025-04-21 05:09:14,1,16
442,442,10000,2025-01-20 20:44:06,1,17
459,459,10000,2025-10-07 18:16:48,1,18
569,569,10000,2025-10-28 11:26:11,1,19
594,594,10000,2025-10-21 09:36:16,1,20
649,649,10000,2025-05-28 03:54:06,1,21
652,652,10000,2025-05-14 07:32:49,1,22
654,654,10000,2025-05-21 07:10:09,1,23
659,659,10000,2025-03-07 09:54:00,1,24
661,661,10000,2025-01-06 15:27:30,1,25
680,680,10000,2025-03-07 22:41:58,1,26
719,719,10000,2025-09-07 17:21:24,1,27
759,759,10000,2025-06-28 10:25:43,1,28
762,762,10000,2025-04-28 14:19:26,1,29
782,782,10000,2025-11-28 13:09:38,1,30
792,792,10000,2025-11-21 10:17:52,1,31
898,898,10000,2025-01-13 11:36:39,1,32
903,903,10000,2025-08-21 20:45:25,1,33
929,929,10000,2025-03-07 18:32:33,1,34
943,943,10000,2025-09-21 02:03:23,1,35
1001,1001,10000,2025-01-20 13:05:35,1,36
1051,1051,10000,2025-01-13 07:05:04,1,37
1189,1189,10000,2025-12-28 21:41:19,1,38
1233,1233,10000,2025-01-06 23:17:59,1,39
1250,1250,10000,2025-11-28 15:45:06,1,40
1254,1254,10000,2025-02-13 16:04:08,1,41
1421,1421,10000,2025-12-07 16:46:09,1,42
1527,1527,10000,2025-08-28 04:12:12,1,43
1573,1573,10000,2025-09-14 10:04:46,1,44
1598,1598,10000,2025-05-21 06:24:35,1,45
1636,1636,10000,2025-01-20 14:41:38,1,46
1663,1663,10000,2025-03-07 22:04:42,1,47
1668,1668,10000,2025-07-07 01:54:57,1,48
1729,1729,10000,2025-12-21 22:53:06,1,49
1732,1732,10000,2025-08-28 14:46:34,1,50
1776,1776,10000,2025-04-14 04:56:26,1,51
1796,1796,10000,2025-01-20 11:36:30,1,52
1801,1801,10000,2025-09-28 03:54:10,1,53
1805,1805,10000,2025-10-21 04:08:13,1,54
1862,1862,10000,2025-06-14 19:32:11,1,55
1873,1873,10000,2025-04-28 04:52:14,1,56
1884,1884,10000,2025-11-21 22:27:16,1,57
1887,1887,10000,2025-05-21 18:18:34,1,58
1964,1964,10000,2025-07-14 09:10:45,1,59
1967,1967,10000,2025-06-14 12:22:59,1,60
1971,1971,10000,2025-11-07 05:26:37,1,61
1980,1980,10000,2025-01-13 18:25:29,1,62
1984,1984,10000,2025-05-07 14:30:40,1,63
2052,2052,10000,2025-11-28 08:21:39,1,64
2095,2095,10000,2025-11-07 00:25:49,1,65
2123,2123,10000,2025-05-14 22:31:35,1,66
2147,2147,10000,2025-11-14 03:30:31,1,67
2166,2166,10000,2025-06-28 18:30:43,1,68
2174,2174,10000,2025-02-20 03:06:06,1,69
2223,2223,10000,2025-08-07 09:46:20,1,70
2258,2258,10000,2025-02-06 02:40:18,1,71
2306,2306,10000,2025-04-14 04:29:06,1,72
2415,2415,10000,2025-06-14 06:41:08,1,73
2435,2435,10000,2025-05-21 08:06:58,1,74
2437,2437,10000,2025-02-06 02:29:07,1,75
2552,2552,10000,2025-02-20 04:02:04,1,76
2577,2577,10000,2025-12-14 10:33:23,1,77
2590,2590,10000,2025-11-21 20:37:19,1,78
2633,2633,10000,2025-02-06 13:35:22,1,79
2645,2645,10000,2025-04-07 08:35:19,1,80
2692,2692,10000,2025-06-07 12:20:54,1,81
2693,2693,10000,2025-04-28 20:33:13,1,82
2711,2711,10000,2025-04-14 23:48:58,1,83
2728,2728,10000,2025-06-28 18:07:45,1,84
2729,2729,10000,2025-11-14 01:37:05,1,85
2740,2740,10000,2025-03-28 16:50:40,1,86
2758,2758,10000,2025-04-21 22:04:54,1,87
2774,2774,10000,2025-07-07 20:39:50,1,88
2792,2792,10000,2025-04-28 03:55:47,1,89
2793,2793,10000,2025-12-21 11:49:43,1,90
2843,2843,10000,2025-01-20 11:36:01,1,91
2930,2930,10000,2025-06-07 22:19:12,1,92
2943,2943,10000,2025-01-20 23:55:02,1,93
2965,2965,10000,2025-09-07 12:27:35,1,94
2994,2994,10000,2025-06-14 15:30:59,1,95
2995,2995,10000,2025-10-07 21:42:03,1,96
3015,3015,10000,2025-02-13 09:05:15,1,97
3049,3049,10000,2025-09-14 09:20:30,1,98
3068,3068,10000,2025-03-21 23:53:15,1,99
3083,3083,10000,2025-09-28 22:00:00,1,100
3104,3104,10000,2025-07-21 04:56:09,1,101
3118,3118,10000,2025-05-14 14:16:14,1,102
3147,3147,10000,2025-01-20 19:30:27,1,103
3189,3189,10000,2025-04-07 14:34:45,1,104
3222,3222,10000,2025-04-28 22:30:39,1,105
3225,3225,10000,2025-02-20 06:04:29,1,106
3290,3290,10000,2025-03-28 04:54:02,1,107
3306,3306,10000,2025-11-07 07:58:02,1,108
3347,3347,10000,2025-06-21 05:57:42,1,109
3354,3354,10000,2025-11-14 03:10:18,1,110
3360,3360,10000,2025-03-14 12:37:49,1,111
3369,3369,10000,2025-11-28 20:32:00,1,112
3376,3376,10000,2025-07-21 06:10:05,1,113
3391,3391,10000,2025-04-28 15:29:19,1,114
3414,3414,10000,2025-11-28 23:36:17,1,115
3443,3443,10000,2025-02-27 12:34:33,1,116
3452,3452,10000,2025-10-07 21:41:19,1,117
3497,3497,10000,2025-08-07 12:49:22,1,118
3513,3513,10000,2025-10-28 04:04:29,1,119
3520,3520,10000,2025-08-07 21:05:04,1,120
3521,3521,10000,2025-10-07 10:21:50,1,121
3528,3528,10000,2025-06-28 16:31:18,1,122
3565,3565,10000,2025-07-21 06:56:48,1,123
3568,3568,10000,2025-06-14 17:32:17,1,124
3579,3579,10000,2025-12-28 18:17:04,1,125
3584,3584,10000,2025-06-21 22:28:41,1,126
3680,3680,10000,2025-04-21 01:57:30,1,127
3701,3701,10000,2025-05-28 02:23:29,1,128
3704,3704,10000,2025-06-14 07:57:09,1,129
3764,3764,10000,2025-08-14 18:27:06,1,130
3781,3781,10000,2025-07-14 21:19:27,1,131
3831,3831,10000,2025-05-14 18:22:03,1,132
3836,3836,10000,2025-02-06 02:26:26,1,133
3871,3871,10000,2025-12-28 03:23:53,1,134
3923,3923,10000,2025-01-13 16:29:34,1,135
3977,3977,10000,2025-10-14 10:50:36,1,136
3995,3995,10000,2025-09-14 09:27:03,1,137
4005,4005,10000,2025-10-21 10:36:09,1,138
4007,4007,10000,2025-01-13 14:41:44,1,139
4010,4010,10000,2025-02-20 08:35:29,1,140
4017,4017,10000,2025-07-21 01:52:15,1,141
4021,4021,10000,2025-04-28 00:30:10,1,142
4041,4041,10000,2025-11-21 19:58:30,1,143
4057,4057,10000,2025-03-21 17:01:54,1,144
4061,4061,10000,2025-01-06 03:31:59,1,145
4075,4075,10000,2025-12-14 20:05:21,1,146
4135,4135,10000,2025-02-27 06:21:45,1,147
4146,4146,10000,2025-02-06 21:45:14,1,148
4189,4189,10000,2025-12-14 23:59:09,1,149
4225,4225,10000,2025-12-28 00:31:47,1,150
4260,4260,10000,2025-08-21 00:05:45,1,151
4288,4288,10000,2025-09-28 22:00:18,1,152
4301,4301,10000,2025-05-21 11:06:04,1,153
4311,4311,10000,2025-08-28 23:13:39,1,154
4354,4354,10000,2025-04-21 10:41:17,1,155
4369,4369,10000,2025-01-06 20:41:11,1,156
4435,4435,10000,2025-12-07 13:04:28,1,157
4472,4472,10000,2025-04-07 10:25:28,1,158
4508,4508,10000,2025-10-07 06:18:37,1,159
